Instance,Size,BKS,Rule,Makespan,Gap%,Optimal,Time(s)
FT06,6x6,55,FCFS,65,18.18,False,0.0002
LA01,10x5,666,MWKR,735,10.36,False,0.0003
LA02,10x5,655,MWKR,860,31.3,False,0.0003
LA03,10x5,597,MWKR,713,19.43,False,0.0003
LA04,10x5,590,MWKR,817,38.47,False,0.0002
LA05,10x5,593,MWKR,621,4.72,False,0.0003
LA06,15x5,926,MWKR,926,0.0,True,0.0006
LA07,15x5,890,MWKR,1031,15.84,False,0.0005
LA08,15x5,863,MWKR,1066,23.52,False,0.001
LA09,15x5,951,MWKR,1046,9.99,False,0.0005
LA10,15x5,958,MWKR,1052,9.81,False,0.0005
LA11,20x5,1222,MWKR,1316,7.69,False,0.0009
LA12,20x5,1039,MWKR,1167,12.32,False,0.0008
LA13,20x5,1150,MWKR,1240,7.83,False,0.0008
LA14,20x5,1292,MWKR,1292,0.0,True,0.0011
LA15,20x5,1207,MWKR,1415,17.23,False,0.0009
LA16,10x10,945,MWKR,1219,28.99,False,0.0009
LA17,10x10,784,MWKR,914,16.58,False,0.0005
LA18,10x10,848,MWKR,1010,19.1,False,0.0005
LA19,10x10,842,MWKR,1084,28.74,False,0.0005
LA20,10x10,902,MWKR,1076,19.29,False,0.0008
LA21,15x10,1046,MWKR,1267,21.13,False,0.001
LA22,15x10,927,MWKR,1170,26.21,False,0.0012
LA23,15x10,1032,MWKR,1223,18.51,False,0.0011
LA24,15x10,935,MWKR,1231,31.66,False,0.0045
LA25,15x10,977,MWKR,1233,26.2,False,0.0052
LA26,20x10,1218,MWKR,1490,22.33,False,0.0092
LA27,20x10,1235,MWKR,1567,26.88,False,0.0056
LA28,20x10,1216,MWKR,1618,33.06,False,0.008
LA29,20x10,1152,MWKR,1470,27.6,False,0.0087
LA30,20x10,1355,MWKR,1565,15.5,False,0.0076
LA31,30x10,1784,MWKR,2024,13.45,False,0.0237
LA32,30x10,1850,MWKR,2020,9.19,False,0.0159
LA33,30x10,1719,MWKR,1997,16.17,False,0.0176
LA34,30x10,1721,MWKR,1997,16.04,False,0.0156
LA35,30x10,1888,MWKR,2108,11.65,False,0.0169
LA36,15x15,1268,MWKR,1513,19.32,False,0.0073
LA37,15x15,1397,MWKR,1734,24.12,False,0.0081
LA38,15x15,1196,MWKR,1526,27.59,False,0.0081
LA39,15x15,1233,MWKR,1524,23.6,False,0.0079
LA40,15x15,1222,MWKR,1549,26.76,False,0.0083
TA01,15x15,1231,MWKR,1589,29.08,False,0.0088
TA02,15x15,1244,MWKR,1580,27.01,False,0.0087
TA03,15x15,1218,MWKR,1604,31.69,False,0.0066
TA04,15x15,1175,MWKR,1504,28.0,False,0.0083
TA05,15x15,1224,MWKR,1553,26.88,False,0.0068
TA06,15x15,1238,MWKR,1496,20.84,False,0.0071
TA07,15x15,1227,MWKR,1540,25.51,False,0.0075
TA08,15x15,1217,MWKR,1580,29.83,False,0.0077
TA09,15x15,1274,MWKR,1579,23.94,False,0.0087
TA10,15x15,1241,MWKR,1567,26.27,False,0.0075
TA11,20x15,1357,MWKR,1796,32.35,False,0.0139
TA12,20x15,1367,MWKR,1764,29.04,False,0.013
TA13,20x15,1342,MWKR,1721,28.24,False,0.0025
TA14,20x15,1345,MWKR,1685,25.28,False,0.0025
TA15,20x15,1339,MWKR,1805,34.8,False,0.0026
TA16,20x15,1360,MWKR,1755,29.04,False,0.0034
TA17,20x15,1462,MWKR,1731,18.4,False,0.0026
TA18,20x15,1396,MWKR,1812,29.8,False,0.0025
TA19,20x15,1332,MWKR,1722,29.28,False,0.0034
TA20,20x15,1348,MWKR,1748,29.67,False,0.0033
TA21,20x20,1642,MWKR,2145,30.63,False,0.0035
TA22,20x20,1600,MWKR,2077,29.81,False,0.0041
TA23,20x20,1557,MWKR,2021,29.8,False,0.0036
TA24,20x20,1644,MWKR,2037,23.91,False,0.0035
TA25,20x20,1595,MWKR,2029,27.21,False,0.0038
TA26,20x20,1643,MWKR,2058,25.26,False,0.0042
TA27,20x20,1680,MWKR,2160,28.57,False,0.0038
TA28,20x20,1603,MWKR,2081,29.82,False,0.0035
TA29,20x20,1625,MWKR,2089,28.55,False,0.0036
TA30,20x20,1584,MWKR,1987,25.44,False,0.0047
TA31,30x15,1764,MWKR,2339,32.6,False,0.0066
TA32,30x15,1784,MWKR,2373,33.02,False,0.0057
TA33,30x15,1791,MWKR,2469,37.86,False,0.0277
TA34,30x15,1829,MWKR,2349,28.43,False,0.0257
TA35,30x15,2007,MWKR,2356,17.39,False,0.0303
TA36,30x15,1819,MWKR,2533,39.25,False,0.03
TA37,30x15,1771,MWKR,2329,31.51,False,0.0252
TA38,30x15,1673,MWKR,2123,26.9,False,0.0227
TA39,30x15,1795,MWKR,2358,31.36,False,0.0244
TA40,30x15,1669,MWKR,2225,33.31,False,0.0238
TA41,30x20,2005,MWKR,2807,40.0,False,0.0313
TA42,30x20,1937,MWKR,2607,34.59,False,0.0347
TA43,30x20,1846,MWKR,2513,36.13,False,0.0377
TA44,30x20,1979,MWKR,2625,32.64,False,0.034
TA45,30x20,2000,MWKR,2600,30.0,False,0.0308
TA46,30x20,2004,MWKR,2593,29.39,False,0.0347
TA47,30x20,1889,MWKR,2408,27.47,False,0.0082
TA48,30x20,1937,MWKR,2639,36.24,False,0.0074
TA49,30x20,1961,MWKR,2597,32.43,False,0.0358
TA50,30x20,1923,MWKR,2630,36.77,False,0.0312
